Date,AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
2014-06-11,97,Ozone,Mount Evans,08-019-0005,AQS,174,39,85.2,06/11/2018,06/11/2009
2014-06-12,101,Ozone,Mount Evans,08-019-0005,AQS,151,38,84.6,06/12/2018,06/12/2010
2014-06-13,93,Ozone,ROCKY FLATS-N,08-059-0006,AQS,151,41,89.2,06/13/2018,06/13/2001
2014-06-14,90,Ozone,Mount Evans,08-019-0005,AQS,129,42,74.2,06/14/2002,06/14/2001
2014-06-15,71,Ozone,Mount Evans,08-019-0005,AQS,133,37,86.4,06/15/2007,06/15/2000
2014-06-16,75,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,151,36,88.8,06/16/2016,06/16/2000
2014-06-17,58,Ozone,ROCKY FLATS-N,08-059-0006,AQS,154,43,84.2,06/17/2016,06/17/2018
2014-06-18,52,PM2.5,DENVER - CAMP,08-031-0002,AQS,151,32,87.6,06/18/2005,06/18/2004
2014-06-19,90,Ozone,ROCKY FLATS-N,08-059-0006,AQS,172,47,94.6,06/19/2006,06/19/2004
2014-06-20,129,Ozone,ROCKY FLATS-N,08-059-0006,AQS,143,47,86.4,06/20/2012,06/20/2009
2014-06-21,64,Ozone,Chatfield State Park,08-035-0004,AQS,169,44,97.6,06/21/2015,06/21/2004
2014-06-22,51,Ozone,Aurora East,08-005-0006,AQS,190,51,73.0,06/22/2012,06/22/2014
2014-06-23,97,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,164,44,94.2,06/23/2015,06/23/2019
2014-06-24,101,Ozone,Chatfield State Park,08-035-0004,AQS,197,26,85.8,06/24/2011,06/24/2003
2014-06-25,74,Ozone,ROCKY FLATS-N,08-059-0006,AQS,136,46,90.6,06/25/2015,06/25/2004
2014-06-26,77,Ozone,ROCKY FLATS-N,08-059-0006,AQS,129,41,93.6,06/26/2002,06/26/2000
2014-06-27,58,Ozone,Kenosha Pass,08-093-0001,AQS,151,49,100.4,06/27/2013,06/27/2004
2014-06-28,80,Ozone,Chatfield State Park,08-035-0004,AQS,161,44,94.0,06/28/2010,06/28/2000
2014-06-29,100,Ozone,ROCKY FLATS-N,08-059-0006,AQS,159,54,90.8,06/29/2002,06/29/2000
2014-06-30,90,Ozone,Chatfield State Park,08-035-0004,AQS,161,49,80.0,06/30/2007,06/30/2004
2014-07-01,84,Ozone,ROCKY FLATS-N,08-059-0006,AQS,172,51,82.0,07/01/2002,07/01/2019
2014-07-02,119,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,166,61,88.0,07/02/2007,07/02/2009
2014-07-03,112,Ozone,ROCKY FLATS-N,08-059-0006,AQS,151,50,91.6,07/03/2007,07/03/2004
2014-07-04,71,Ozone,ROCKY FLATS-N,08-059-0006,AQS,177,51,88.0,07/04/2012,07/04/2009
2014-07-05,64,Ozone,Welby,08-001-3001,AQS,159,58,81.0,07/05/2001,07/05/2015
2014-07-06,71,Ozone,Aurora East,08-005-0006,AQS,156,58,98.4,07/06/2018,07/06/2010
2014-07-07,112,Ozone,Chatfield State Park,08-035-0004,AQS,146,54,116.2,07/07/2015,07/07/2008
2014-07-08,112,Ozone,ROCKY FLATS-N,08-059-0006,AQS,151,45,86.4,07/08/2003,07/08/2006
2014-07-09,122,Ozone,Chatfield State Park,08-035-0004,AQS,182,51,85.6,07/09/2007,07/09/2006
2014-07-10,80,Ozone,Chatfield State Park,08-035-0004,AQS,174,51,96.6,07/10/2008,07/10/2015
2014-07-11,93,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,215,48,90.8,07/11/2003,07/11/2015
2014-07-12,67,Ozone,Chatfield State Park,08-035-0004,AQS,210,49,81.2,07/12/2003,07/12/2015
2014-07-13,93,Ozone,ROCKY FLATS-N,08-059-0006,AQS,166,43,94.4,07/13/2006,07/13/2015
2014-07-14,100,Ozone,Aspen Park,08-059-0013,AQS,164,48,98.0,07/14/2006,07/14/2015
2014-07-15,76,PM2.5,I-25,08-031-0027,AQS,161,46,75.4,07/15/2006,07/15/2001
2014-07-16,74,Ozone,Chatfield State Park,08-035-0004,AQS,159,49,106.4,07/16/2011,07/16/2004
2014-07-17,112,Ozone,Chatfield State Park,08-035-0004,AQS,174,61,99.2,07/17/2003,07/17/2000
