"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"05/20/2015","71","Ozone","Mines Peak","08-019-0006","AQS","90","40","62","05/20/2014","05/20/2003"
"05/21/2015","74","Ozone","Mines Peak","08-019-0006","AQS","108","42","71.6","05/21/2002","05/21/2009"
"05/22/2015","71","Ozone","Mines Peak","08-019-0006","AQS","112","43","69.4","05/22/2005","05/22/2000"
"05/23/2015","105","Ozone","Mines Peak","08-019-0006","AQS","105","38","85.6","05/23/2015","05/23/2001"
"05/24/2015","90","Ozone","Mines Peak","08-019-0006","AQS","115","41","79.8","05/24/2012","05/24/2002"
"05/25/2015","64","Ozone","Aurora East","08-005-0006","AQS","150","37","82.2","05/25/2014","05/25/2004"
"05/26/2015","50","Ozone","Mines Peak","08-019-0006","AQS","112","44","70","05/26/2014","05/26/2000"
"05/27/2015","67","Ozone","Mines Peak","08-019-0006","AQS","115","25","72","05/27/2012","05/27/2008"
"05/28/2015","71","Ozone","Mines Peak","08-019-0006","AQS","164","41","68.6","05/28/2003","05/28/2008"
"05/29/2015","67","Ozone","Mines Peak","08-019-0006","AQS","115","37","68.6","05/29/2012","05/29/2005"
"05/30/2015","71","Ozone","Kenosha Pass","08-093-0001","AQS","105","33","80.4","05/30/2010","05/30/2005"
"05/31/2015","67","Ozone","Aurora East","08-005-0006","AQS","129","54","71.8","05/31/2008","05/31/2016"
"06/01/2015","51","Ozone","Mines Peak","08-019-0006","AQS","112","51","72","06/01/2006","06/01/2015"
"06/02/2015","90","Ozone","ROCKY FLATS-N","08-059-0006","AQS","122","46","86","06/02/2006","06/02/2009"
"06/03/2015","87","Ozone","Mines Peak","08-019-0006","AQS","119","44","79.8","06/03/2014","06/03/2010"
"06/04/2015","101","Ozone","ROCKY FLATS-N","08-059-0006","AQS","136","30","89.4","06/04/2006","06/04/2001"
"06/05/2015","55","PM2.5","I-25","08-031-0027","AQS","136","44","80","06/05/2004","06/05/2010"
"06/06/2015","51","Ozone","Kenosha Pass","08-093-0001","AQS","154","50","99.8","06/06/2018","06/06/2009"
"06/07/2015","93","Ozone","Aurora East","08-005-0006","AQS","147","47","79.4","06/07/2011","06/07/2009"
"06/08/2015","119","Ozone","ROCKY FLATS-N","08-059-0006","AQS","156","37","90.4","06/08/2002","06/08/2009"
"06/09/2015","112","Ozone","ROCKY FLATS-N","08-059-0006","AQS","156","44","89.2","06/09/2002","06/09/2003"
"06/10/2015","50","Ozone","Chatfield State Park","08-035-0004","AQS","122","33","66.6","06/10/2006","06/10/2005"
"06/11/2015","71","Ozone","Chatfield State Park","08-035-0004","AQS","174","39","85.2","06/11/2018","06/11/2009"
"06/12/2015","77","Ozone","Chatfield State Park","08-035-0004","AQS","151","38","84.6","06/12/2018","06/12/2010"
"06/13/2015","71","Ozone","ROCKY FLATS-N","08-059-0006","AQS","151","41","89.2","06/13/2018","06/13/2001"
"06/14/2015","74","Ozone","Chatfield State Park","08-035-0004","AQS","129","42","74.2","06/14/2002","06/14/2001"
"06/15/2015","61","Ozone","ROCKY FLATS-N","08-059-0006","AQS","133","37","86.4","06/15/2007","06/15/2000"
